# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 9 1751
  6 45 399 2.73635 1.6986 293.125 0.0185589 2.59641 -0.763819
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
70000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.12971 1.3708 277.038 -0.0568235 2.92927 -0.563822
  3 15 334 3.62705 1.42189 323.346 -0.096641 3.3959 -1.09347
  4 25 368 4.13634 1.56663 301.986 0.0226264 3.90761 -0.925797
  5 35 402 3.90574 1.71137 278.884 0.0436908 3.71146 -0.87065
  6 45 399 2.74509 1.6986 302.292 0.0278902 2.60901 -0.739612
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
75000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.11652 1.3708 316.647 -0.0344004 2.93406 -0.726879
  3 15 334 3.60828 1.42189 322.909 -0.0855451 3.38046 -1.11637
  4 25 368 4.10839 1.56663 278.467 0.00548152 3.88921 -1.30979
  5 35 402 3.86794 1.71137 292.253 0.0270493 3.68119 -1.14927
  6 45 399 2.73293 1.6986 288.507 0.0152957 2.60099 -0.590884
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
80000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.08775 1.3708 286.941 -0.0399159 2.90588 -0.391117
  3 15 334 3.59612 1.42189 287.5 -0.102372 3.37175 -1.11843
  4 25 368 4.07525 1.56663 326.62 -0.0071269 3.86138 -1.41629
  5 35 402 3.84993 1.71137 292.679 0.0370343 3.67403 -1.12597
  6 45 399 2.73847 1.6986 273.668 0.0232842 2.60976 -0.60767
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
85000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.06146 1.3708 305.563 -0.0393173 2.88622 -0.874067
  3 15 334 3.57216 1.42189 292.951 -0.0991528 3.35131 -1.84138
  4 25 368 4.02193 1.56663 300.516 0.0230378 3.82414 -1.70445
  5 35 402 3.84732 1.71137 272.31 0.0615993 3.66959 -0.96952
  6 45 399 2.7386 1.6986 295.208 0.0249464 2.60256 -0.489747
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
90000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.05231 1.3708 291.065 -0.0374961 2.88223 -1.01911
  3 15 334 3.55999 1.42189 304.887 -0.0897428 3.34224 -1.25609
  4 25 368 3.99354 1.56663 293.849 0.0032269 3.80766 -1.78166
  5 35 402 3.8314 1.71137 290.403 0.0629192 3.66012 -1.13917
  6 45 399 2.74983 1.6986 297.581 0.0300767 2.61439 -0.745579
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
95000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.02533 1.3708 278.666 -0.0234589 2.85821 -0.828767
  3 15 334 3.56608 1.42189 293.597 -0.0795411 3.34536 -1.52759
  4 25 368 3.962 1.56663 271.833 0.00622772 3.79021 -1.57469
  5 35 402 3.799 1.71137 304.362 0.0577311 3.63585 -1.61064
  6 45 399 2.73934 1.6986 298.838 0.0387925 2.61092 -0.840791
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
100000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.02468 1.3708 304.229 -0.0352464 2.85668 -0.849076
  3 15 334 3.54459 1.42189 321.806 -0.0729793 3.32494 -1.50959
  4 25 368 3.92195 1.56663 268.433 0.0135543 3.75744 -1.50853
  5 35 402 3.76054 1.71137 289.171 0.0847381 3.60701 -1.37625
  6 45 399 2.73449 1.6986 301.048 0.0464632 2.60855 -0.970951
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
105000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.0148 1.3708 304.259 -0.00889061 2.85529 -0.870955
  3 15 334 3.53354 1.42189 282.36 -0.058604 3.33089 -1.83645
  4 25 368 3.90148 1.56663 271.962 0.0180554 3.74506 -1.98918
  5 35 402 3.74805 1.71137 270.56 0.0532438 3.59409 -1.51029
  6 45 399 2.72705 1.6986 305.344 0.0516882 2.60425 -0.853697
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
110000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.9814 1.3708 287.108 -0.0199698 2.81824 -0.863487
  3 15 334 3.52913 1.42189 302.552 -0.0605955 3.32106 -1.96194
  4 25 368 3.87614 1.56663 294.687 0.0106204 3.72764 -1.86541
  5 35 402 3.72534 1.71137 302.163 0.0148087 3.57412 -1.14356
  6 45 399 2.73471 1.6986 291.206 0.0167366 2.61223 -0.83778
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
115000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.97202 1.3708 288.642 -0.0324388 2.80612 -0.920481
  3 15 334 3.52713 1.42189 297.513 -0.0551407 3.32569 -1.84299
  4 25 368 3.88748 1.56663 268.554 0.010963 3.73825 -1.88031
  5 35 402 3.7002 1.71137 290.467 0.00826915 3.5511 -0.903691
  6 45 399 2.71437 1.6986 308.158 0.010407 2.59118 -0.842112
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
120000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 2.97271 1.3708 315.269 -0.0314187 2.80679 -1.19093
  3 15 334 3.52416 1.42189 304.577 -0.0711593 3.31342 -1.66984
  4 25 368 3.87557 1.56663 325.761 0.0135467 3.73035 -2.11151
  5 35 402 3.68762 1.71137 296.883 0.0144341 3.53272 -1.03191
