# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 2696
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
85000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.346488 0.0510858 69.6807 0.329636 0.096516 0.0648545
  3 2.5 259 2.63809 8.43133 318.31 0.0746665 2.02602 0.289108
  4 7.5 284 2.97486 11.5843 300.507 -0.24249 1.76821 0.367971
  5 12.5 275 4.46399 11.2483 284.445 -0.324504 3.11732 -0.438854
  6 17.5 269 3.73461 11.1107 304.085 -0.462457 2.1884 0.0734643
  7 22.5 282 3.98638 11.8267 322.776 -0.699516 2.36359 -0.460315
  8 27.5 277 4.16661 10.922 286.701 -0.808915 2.7081 -0.993118
  9 32.5 268 3.61474 9.29008 278.749 -0.855011 2.33467 0.344753
  10 37.5 265 3.74139 8.04998 296.263 -0.717877 2.53331 -0.658522
  11 42.5 256 3.70439 7.62221 298.057 -0.936895 2.62385 -1.02531
  12 47.5 255 2.28672 7.78927 284.943 -1.14603 1.25098 -0.132754
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
90000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.318569 0.0510858 127.889 0.281311 0.135271 0.00944794
  3 2.5 259 2.64207 8.43133 277.384 0.0714437 2.03501 0.254588
  4 7.5 284 2.98968 11.5843 295.516 -0.232163 1.77228 0.368968
  5 12.5 275 4.47678 11.2483 311.537 -0.317165 3.12915 -0.23681
  6 17.5 269 3.74068 11.1107 298.371 -0.469411 2.18753 0.0548133
  7 22.5 282 3.9986 11.8267 281.655 -0.721066 2.36318 -0.475666
  8 27.5 277 4.1932 10.922 310.875 -0.83774 2.73257 -1.0398
  9 32.5 268 3.6401 9.29008 284.818 -0.875881 2.34696 0.494312
  10 37.5 265 3.75778 8.04998 317.994 -0.724482 2.53443 -0.653593
  11 42.5 256 3.71464 7.62221 274.138 -0.927534 2.63693 -1.17389
  12 47.5 255 2.29279 7.78927 316.632 -1.14613 1.2507 -0.0713028
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
95000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.339674 0.0510858 178.376 0.305907 0.12232 0.0129344
  3 2.5 259 2.65545 8.43133 286.596 0.0901061 2.04153 0.296313
  4 7.5 284 3.00436 11.5843 249.079 -0.220631 1.77412 0.390264
  5 12.5 275 4.50383 11.2483 306.501 -0.31807 3.14427 -0.390611
  6 17.5 269 3.74073 11.1107 285.348 -0.455207 2.19017 0.0880818
  7 22.5 282 4.01826 11.8267 286.921 -0.728838 2.38643 -0.438173
  8 27.5 277 4.20226 10.922 300.646 -0.837545 2.74432 -0.833154
  9 32.5 268 3.63734 9.29008 281.054 -0.889326 2.33108 0.456709
  10 37.5 265 3.77355 8.04998 326.168 -0.729592 2.54198 -0.691871
  11 42.5 256 3.72767 7.62221 293.18 -0.927645 2.64965 -1.17601
  12 47.5 255 2.29753 7.78927 307.039 -1.14366 1.25889 -0.116725
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
100000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.314575 0.0510858 57.8962 0.281158 0.13654 -0.0404723
  3 2.5 259 2.65959 8.43133 298.888 0.0806511 2.04109 0.267316
  4 7.5 284 2.9901 11.5843 318.251 -0.232449 1.76528 0.383174
  5 12.5 275 4.48842 11.2483 318.031 -0.317772 3.12732 -0.548752
  6 17.5 269 3.76091 11.1107 283.537 -0.445338 2.19371 0.0789674
  7 22.5 282 4.02363 11.8267 279.269 -0.729968 2.37809 -0.409139
  8 27.5 277 4.20891 10.922 280.155 -0.828839 2.74043 -0.663884
  9 32.5 268 3.67655 9.29008 285.195 -0.87634 2.37429 0.47167
  10 37.5 265 3.80581 8.04998 286.181 -0.725432 2.56077 -0.524866
  11 42.5 256 3.7238 7.62221 321.408 -0.915498 2.64777 -1.17168
  12 47.5 255 2.29494 7.78927 286.295 -1.14936 1.24439 -0.0570247
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
105000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.339457 0.0510858 138.671 0.30676 0.122411 -0.0256196
  3 2.5 259 2.68471 8.43133 313.962 0.100203 2.05471 0.237915
  4 7.5 284 2.9942 11.5843 297.86 -0.219852 1.77054 0.363931
  5 12.5 275 4.505 11.2483 311.752 -0.305449 3.1425 -0.194269
  6 17.5 269 3.78804 11.1107 293.641 -0.440634 2.22547 0.0790637
  7 22.5 282 4.03183 11.8267 285.545 -0.738167 2.3865 -0.416584
  8 27.5 277 4.21447 10.922 291.113 -0.833142 2.74736 -0.65273
  9 32.5 268 3.67057 9.29008 280.923 -0.90538 2.36633 0.0779543
  10 37.5 265 3.80964 8.04998 273.448 -0.747644 2.56584 -0.516792
  11 42.5 256 3.75695 7.62221 309.399 -0.924355 2.67337 -1.18828
  12 47.5 255 2.30941 7.78927 319.351 -1.16207 1.24753 -0.0410238
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
110000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.303995 0.0510858 74.0118 0.266269 0.127297 -0.0477458
  3 2.5 259 2.68781 8.43133 294.611 0.0879856 2.06036 0.237056
  4 7.5 284 3.01004 11.5843 275.961 -0.219462 1.7807 0.336704
  5 12.5 275 4.49926 11.2483 330.479 -0.306749 3.13805 -0.199944
  6 17.5 269 3.78209 11.1107 303.557 -0.442589 2.21939 0.0645881
  7 22.5 282 4.02764 11.8267 313.153 -0.738042 2.37975 -0.435479
