# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 1833
  2 -2.5 6 0.450421 0.0510858 250.057 0.385452 0.229815 -0.229815
  3 2.5 187 2.75551 1.59217 1254.48 0.886414 2.274 0.135832
  4 7.5 178 3.0181 1.51555 1271.76 1.43196 2.12405 -0.280044
  5 12.5 172 4.74376 1.46446 1300.66 1.67138 3.73227 -0.533804
  6 17.5 167 3.78026 1.42189 1221.16 1.62302 2.83907 -0.486168
  7 22.5 173 3.92768 1.47297 1238.46 1.52617 2.921 -0.636089
  8 27.5 178 4.09216 1.51555 1218.68 1.03528 3.3174 -0.537711
  9 32.5 188 3.54874 1.60069 1288.36 0.758086 2.83084 0.261875
  10 37.5 199 3.7271 1.69435 1220.62 0.560143 3.07485 0.252395
  11 42.5 194 3.60227 1.65177 1274.65 0.419396 3.01964 -0.0453751
  12 47.5 191 1.63761 1.62623 1277.11 -0.021744 1.34442 -0.315177
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
90000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.35127 0.0510858 267.904 0.320151 0.135848 -0.0805719
  3 2.5 187 2.72172 1.59217 1215.34 0.855029 2.25592 -0.126584
  4 7.5 178 3.01337 1.51555 1179.49 1.41938 2.13858 -0.34752
  5 12.5 172 4.75125 1.46446 1267.83 1.68451 3.72873 -0.684447
  6 17.5 167 3.78131 1.42189 1324.44 1.64993 2.82004 -0.55045
  7 22.5 173 3.94778 1.47297 1338.24 1.4958 2.93038 -0.591776
  8 27.5 178 4.09557 1.51555 1380.18 1.02596 3.31162 -0.180352
  9 32.5 188 3.60453 1.60069 1263.36 0.762139 2.84911 0.319719
  10 37.5 199 3.77084 1.69435 1285.39 0.557403 3.09773 -0.584181
  11 42.5 194 3.61354 1.65177 1278.07 0.403094 3.00463 -0.2587
  12 47.5 191 1.67611 1.62623 1306.72 -0.0639529 1.39092 -0.302652
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
95000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.483874 0.0510858 889.97 0.392855 0.271874 -0.271874
  3 2.5 187 2.75717 1.59217 1312.42 0.850968 2.29029 -0.112985
  4 7.5 178 3.03749 1.51555 1133.38 1.41251 2.14686 -0.244981
  5 12.5 172 4.75368 1.46446 1143.56 1.67648 3.73598 -0.777848
  6 17.5 167 3.80903 1.42189 1212.47 1.67229 2.84692 -0.545705
  7 22.5 173 3.96327 1.47297 1270.71 1.49146 2.9687 -0.526816
  8 27.5 178 4.09484 1.51555 1204.76 1.03312 3.31205 -0.206551
  9 32.5 188 3.6038 1.60069 1221.08 0.69072 2.83936 0.378208
  10 37.5 199 3.74233 1.69435 1366.77 0.483171 3.10444 0.0351339
  11 42.5 194 3.58713 1.65177 1175.6 0.334893 3.01811 -0.170026
  12 47.5 191 1.66843 1.62623 1293.05 -0.060967 1.38374 -0.294454
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
100000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.392848 0.0510858 866.629 0.338822 0.19648 -0.19648
  3 2.5 187 2.74743 1.59217 1255.15 0.830521 2.30152 0.0642948
  4 7.5 178 3.03717 1.51555 1235.3 1.37204 2.16117 -0.132789
  5 12.5 172 4.77974 1.46446 1277.62 1.65655 3.78563 -0.860625
  6 17.5 167 3.77926 1.42189 1421.01 1.63227 2.86707 -0.533276
  7 22.5 173 3.95802 1.47297 1460.18 1.47562 2.9686 -0.527363
  8 27.5 178 4.10248 1.51555 1270.7 1.07718 3.30296 -0.196746
  9 32.5 188 3.62725 1.60069 1196.19 0.778789 2.86931 0.419738
  10 37.5 199 3.81229 1.69435 1271.75 0.550186 3.16376 0.0462019
  11 42.5 194 3.65296 1.65177 1317.51 0.35719 3.06704 -0.507842
  12 47.5 191 1.70869 1.62623 1390.52 -0.0860094 1.41063 -0.348264
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
105000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.37681 0.0510858 478.685 0.337689 0.148704 -0.123405
  3 2.5 187 2.79485 1.59217 1323.11 0.859275 2.32608 0.0922632
  4 7.5 178 3.08617 1.51555 1291.44 1.40763 2.18815 -0.228232
  5 12.5 172 4.8 1.46446 1297.56 1.68163 3.78239 -0.662383
  6 17.5 167 3.81398 1.42189 1271.26 1.66421 2.86814 -0.482403
  7 22.5 173 4.05155 1.47297 1186.1 1.51096 3.06189 -0.611121
  8 27.5 178 4.1082 1.51555 1286.1 1.04853 3.30692 -0.0106221
  9 32.5 188 3.65375 1.60069 1354.02 0.759194 2.88084 0.457071
  10 37.5 199 3.82695 1.69435 1322.58 0.57049 3.16334 0.259397
  11 42.5 194 3.6851 1.65177 1348.52 0.361689 3.09827 -0.300061
  12 47.5 191 1.70847 1.62623 1342.78 -0.0454738 1.42603 -0.421285
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
110000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.394452 0.0510858 258.728 0.297222 0.245766 -0.114797
  3 2.5 187 2.7894 1.59217 1300.09 0.879608 2.29627 0.185082
  4 7.5 178 3.04263 1.51555 1290.87 1.37809 2.15834 -0.128785
  5 12.5 172 4.88961 1.46446 1240.25 1.74438 3.85392 -0.620538
  6 17.5 167 3.91555 1.42189 1262.47 1.69378 2.93226 -0.229866
  7 22.5 173 4.07074 1.47297 1246.39 1.52302 3.06527 -0.61459
  8 27.5 178 4.15145 1.51555 1282.03 1.04684 3.3517 -0.321772
  9 32.5 188 3.65558 1.60069 1325.81 0.792576 2.90607 0.451542
  10 37.5 199 3.80394 1.69435 1370 0.518526 3.16958 0.0249727
  11 42.5 194 3.65783 1.65177 1164.96 0.338483 3.09569 -0.408478
  12 47.5 191 1.6919 1.62623 1401.25 -0.0788267 1.40624 -0.344261
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
115000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.433047 0.0510858 121.891 0.374302 0.209603 -0.0596334
  3 2.5 187 2.7944 1.59217 1292.51 0.890277 2.28971 -0.140362
  4 7.5 178 3.10504 1.51555 1464.57 1.45436 2.17923 -0.192869
  5 12.5 172 4.91547 1.46446 1215.65 1.75875 3.88217 -0.664006
  6 17.5 167 3.91685 1.42189 1128.72 1.72837 2.93077 -0.540246
  7 22.5 173 4.07188 1.47297 1362.82 1.51208 3.06743 -0.585699
  8 27.5 178 4.13953 1.51555 1268.28 1.03455 3.33519 -0.149309
  9 32.5 188 3.66045 1.60069 1181.51 0.760325 2.89415 0.406477
  10 37.5 199 3.81473 1.69435 1307.59 0.519631 3.18107 0.153524
  11 42.5 194 3.64851 1.65177 1162.45 0.328126 3.06877 -0.284101
  12 47.5 191 1.67978 1.62623 1215.66 -0.0668864 1.3957 -0.371113
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
120000 12 1833
