# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 600
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
80000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.35522 6.83916 1253.35 -2.03307 2.19377 -0.515154
  4 7.5 106 3.49445 10.0688 1137.4 -2.83628 1.62452 0.11475
  5 12.5 103 5.34516 9.78379 1219.35 -3.50985 3.07409 0.0120381
  6 17.5 102 4.84093 9.6888 1515.55 -3.84646 2.19772 0.315305
  7 22.5 109 4.91897 10.3537 1387.56 -4.12491 1.8268 -0.752319
  8 27.5 97 5.50022 9.21386 1171.43 -4.20025 2.43116 0.0768256
  9 32.5 11 6.21951 1.04487 832.455 -3.71485 3.859 -1.47336
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
85000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.41345 6.83916 1170.63 -2.06621 2.22172 -0.430102
  4 7.5 106 3.53089 10.0688 1378.95 -2.86157 1.66092 -0.310443
  5 12.5 103 5.3641 9.78379 1342.08 -3.57159 3.03637 -0.043858
  6 17.5 102 4.9433 9.6888 1129.77 -3.93287 2.23063 0.217155
  7 22.5 109 4.98079 10.3537 1437.21 -4.18858 1.86211 -0.147953
  8 27.5 97 5.51009 9.21386 1075.83 -4.19588 2.45848 0.0759169
  9 32.5 11 6.18952 1.04487 1002.63 -3.74727 3.72881 -1.43606
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
90000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.39044 6.83916 1330.34 -2.09787 2.16502 -0.558352
  4 7.5 106 3.57443 10.0688 1286.89 -2.90384 1.67009 -0.273455
  5 12.5 103 5.4609 9.78379 1144.87 -3.64838 3.11092 0.0950642
  6 17.5 102 4.9889 9.6888 1264.18 -3.99651 2.20805 0.229922
  7 22.5 109 5.03777 10.3537 1330.66 -4.23209 1.86908 -0.0849915
  8 27.5 97 5.54431 9.21386 1323.06 -4.22509 2.46569 -0.0449266
  9 32.5 11 6.22493 1.04487 902.903 -3.75483 3.7324 -1.49734
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
95000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.39656 6.83916 1186.75 -2.0445 2.21614 -0.69635
  4 7.5 106 3.59505 10.0688 1296.34 -2.93222 1.66074 -0.244901
  5 12.5 103 5.47825 9.78379 1416.47 -3.63389 3.15189 0.149958
  6 17.5 102 4.94598 9.6888 1339.15 -3.96093 2.17213 0.231668
  7 22.5 109 5.0231 10.3537 1413.24 -4.24112 1.84442 -0.14775
  8 27.5 97 5.54924 9.21386 1556.9 -4.24104 2.45135 0.522771
  9 32.5 11 6.21497 1.04487 1309.73 -3.77375 3.77686 -1.44668
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
100000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.43168 6.83916 1376.48 -2.07215 2.21007 -0.570248
  4 7.5 106 3.63034 10.0688 1148.21 -2.96094 1.6732 -0.413447
  5 12.5 103 5.5208 9.78379 1206.87 -3.69149 3.12841 0.05673
  6 17.5 102 4.98341 9.6888 1364.4 -4.03681 2.11175 0.2028
  7 22.5 109 5.07393 10.3537 1240.49 -4.28594 1.86634 -0.157947
  8 27.5 97 5.60516 9.21386 1358.74 -4.29354 2.43825 0.446323
  9 32.5 11 6.2137 1.04487 1337.75 -3.80635 3.6634 -1.84246
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
105000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.43398 6.83916 1516.24 -2.10383 2.19673 -0.614901
  4 7.5 106 3.668 10.0688 1097.73 -2.99282 1.70917 -0.342754
  5 12.5 103 5.54688 9.78379 1261.77 -3.69645 3.15954 -0.0108673
  6 17.5 102 5.00049 9.6888 1370.73 -4.03354 2.17842 0.187
  7 22.5 109 5.1158 10.3537 1344.76 -4.31803 1.91739 -0.150123
  8 27.5 97 5.61461 9.21386 1339.71 -4.30975 2.44092 0.536818
  9 32.5 11 6.16601 1.04487 1373.9 -3.74489 3.67343 -1.60427
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
110000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.46043 6.83916 1119.13 -2.11651 2.23208 -0.439535
  4 7.5 106 3.65229 10.0688 1390.37 -2.99104 1.67743 -0.290612
  5 12.5 103 5.5498 9.78379 1207.54 -3.69856 3.18893 0.0129364
  6 17.5 102 5.02248 9.6888 1241.51 -4.03442 2.2147 0.25638
  7 22.5 109 5.18113 10.3537 1301.25 -4.33047 2.02588 -0.643632
  8 27.5 97 5.61571 9.21386 1314.67 -4.32073 2.43591 0.4027
  9 32.5 11 6.16658 1.04487 1252.13 -3.83267 3.59708 -1.93389
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
115000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.44226 6.83916 1384.88 -2.11307 2.21562 -0.570933
  4 7.5 106 3.65666 10.0688 1180.69 -2.96214 1.72616 -0.25017
  5 12.5 103 5.53032 9.78379 1170.84 -3.66949 3.18539 0.121091
  6 17.5 102 5.08266 9.6888 1355.8 -4.05607 2.28869 0.350884
  7 22.5 109 5.18922 10.3537 1485.5 -4.34086 2.01343 -0.189687
  8 27.5 97 5.65972 9.21386 1179.28 -4.35545 2.48583 0.409613
  9 32.5 11 6.12248 1.04487 691.595 -3.74813 3.68148 -1.92726
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
120000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.4213 6.83916 1279.52 -2.09641 2.1921 -0.482812
  4 7.5 106 3.67902 10.0688 1286.8 -2.98945 1.73035 -0.38737
  5 12.5 103 5.59059 9.78379 1391.18 -3.74507 3.17607 0.0855176
  6 17.5 102 5.05251 9.6888 1517.93 -4.04659 2.24955 0.359658
  7 22.5 109 5.16428 10.3537 1182.85 -4.3174 1.99766 -0.114574
  8 27.5 97 5.64542 9.21386 1230.22 -4.3303 2.49954 -0.00765111
  9 32.5 11 6.21005 1.04487 1359.86 -3.7813 3.62633 -1.48744
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
125000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.4396 6.83916 1094.34 -2.11266 2.20656 -0.512214
  4 7.5 106 3.64626 10.0688 1344.98 -2.95512 1.72068 -0.262776
  5 12.5 103 5.54097 9.78379 1375.96 -3.70202 3.16109 0.0286084
  6 17.5 102 5.00934 9.6888 1418.95 -4.04388 2.17311 0.329603
  7 22.5 109 5.14131 10.3537 1449.42 -4.30673 1.95627 -0.556562
  8 27.5 97 5.68225 9.21386 1178.76 -4.37656 2.52903 0.456878
  9 32.5 11 6.24571 1.04487 1316.45 -3.84669 3.74127 2.59363
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
130000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.46863 6.83916 1310.6 -2.15463 2.22457 0.23813
  4 7.5 106 3.69745 10.0688 1176.62 -3.01318 1.72109 -0.229416
  5 12.5 103 5.6364 9.78379 1350 -3.79107 3.2005 0.018726
  6 17.5 102 5.07679 9.6888 1251.7 -4.09042 2.22689 0.366306
  7 22.5 109 5.2011 10.3537 1310.35 -4.36265 1.97165 -0.576758
  8 27.5 97 5.69071 9.21386 1258.37 -4.39872 2.48347 -0.0417908
  9 32.5 11 6.12961 1.04487 1462.64 -3.82388 3.63763 2.53122
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
135000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.4741 6.83916 1525.04 -2.14306 2.23624 0.0572676
  4 7.5 106 3.75893 10.0688 1308.29 -3.05184 1.80402 -0.200872
